Timestamp,Application,EventType,Source
Filtering the log,using,CRASH,log_stream
2026-06-01 21:47:47.061757-0400,[com.apple.corespeech:Framework],HANG,log_stream
2026-06-01 21:47:47.109419-0400,(AppKit),HANG,log_stream
2026-06-01 21:47:47.111955-0400,(AppKit),HANG,log_stream
2026-06-01 21:47:47.112050-0400,(AppKit),HANG,log_stream
2026-06-01 21:47:47.114266-0400,(AppKit),HANG,log_stream
2026-06-01 21:47:47.328335-0400,(IO80211),HANG,log_stream
2026-06-01 21:47:48.546357-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:48.647077-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:48.647423-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:48.647411-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:49.931390-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:49.934731-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:49.947774-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:49.947857-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:49.986099-0400,(RunningBoard),HANG,log_stream
2026-06-01 21:47:49.986244-0400,Excel[24754]:,HANG,log_stream
2026-06-01 21:47:50.037474-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:50.043637-0400,(RunningBoard),HANG,log_stream
2026-06-01 21:47:50.044760-0400,Excel[24754]:,HANG,log_stream
2026-06-01 21:47:50.045475-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:50.054237-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:50.054280-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:51.726198-0400,(iCloudQuotaUI),HANG,log_stream
2026-06-01 21:47:51.728344-0400,(CloudKit),HANG,log_stream
2026-06-01 21:47:51.728437-0400,(CloudKit),HANG,log_stream
2026-06-01 21:47:51.732421-0400,[com.apple.windowmanagement:model],HANG,log_stream
2026-06-01 21:47:51.729500-0400,[com.apple.bluetooth:Server.Core],HANG,log_stream
2026-06-01 21:47:51.736440-0400,[com.apple.windowmanagement:windowserverconnection],HANG,log_stream
2026-06-01 21:47:51.740131-0400,[com.apple.bluetooth:Server.Audio],HANG,log_stream
2026-06-01 21:47:51.737783-0400,(SyncedDefaults),HANG,log_stream
2026-06-01 21:47:51.739618-0400,(SyncedDefaults),HANG,log_stream
2026-06-01 21:47:51.729185-0400,(CloudKit),HANG,log_stream
2026-06-01 21:47:51.740831-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:51.729527-0400,(CloudKit),HANG,log_stream
2026-06-01 21:47:51.729579-0400,(CloudKit),HANG,log_stream
2026-06-01 21:47:51.729937-0400,(RunningBoard),HANG,log_stream
2026-06-01 21:47:51.731979-0400,(CloudKit),HANG,log_stream
2026-06-01 21:47:51.741165-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:51.746460-0400,(CoreDuetContext),HANG,log_stream
2026-06-01 21:47:51.748247-0400,(CoreDuetContext),HANG,log_stream
2026-06-01 21:47:51.751911-0400,(CoreDuetContext),HANG,log_stream
2026-06-01 21:47:51.757328-0400,(CoreDuetContext),HANG,log_stream
2026-06-01 21:47:51.763660-0400,(CoreDuet),CRASH,log_stream
2026-06-01 21:47:51.763835-0400,(CoreDuet),CRASH,log_stream
2026-06-01 21:47:51.775408-0400,(CoreDuetContext),HANG,log_stream
2026-06-01 21:47:51.837079-0400,(AppKit),HANG,log_stream
2026-06-01 21:47:51.837517-0400,(RunningBoard),HANG,log_stream
2026-06-01 21:47:51.837677-0400,(AppKit),HANG,log_stream
2026-06-01 21:47:51.837731-0400,(AppKit),HANG,log_stream
2026-06-01 21:47:51.837794-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:51.837811-0400,(AppKit),HANG,log_stream
2026-06-01 21:47:51.838918-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:52.211489-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:52.211492-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:52.212396-0400,(RunningBoardServices),HANG,log_stream
