activity_type,start_date,end_date,duration_min,active_kcal,basal_kcal,avg_hr,min_hr,max_hr,timezone,avg_mets
HKWorkoutActivityTypeFunctionalStrengthTraining,11/23/22 0:04,11/23/22 0:35,31.19697568416596,216.191,53.8279,140.501,92,170,America/Toronto,6.54146
HKWorkoutActivityTypeWalking,11/23/22 0:41,11/23/22 1:02,20.18348988493284,240.499,34.8527,171.52,112,181,America/Toronto,10.2919
HKWorkoutActivityTypeTraditionalStrengthTraining,11/23/22 1:07,11/23/22 1:17,9.239643249909083,78.9582,15.6291,130.249,111,153,America/Toronto,7.46346
HKWorkoutActivityTypeTraditionalStrengthTraining,11/23/22 1:18,11/23/22 1:27,9.030395283301671,44.481,15.4271,114.553,102,131,America/Toronto,2.97599
HKWorkoutActivityTypeWalking,11/23/22 1:47,11/23/22 2:17,30.53065731724103,136.593,52.7405,112.507,99,122,America/Toronto,4.63698
HKWorkoutActivityTypeWalking,11/24/22 13:17,11/24/22 14:17,60.59191281596819,197.983,104.281,107.436,82,124,America/Toronto,3.64224
HKWorkoutActivityTypeWalking,11/25/22 19:29,11/25/22 20:41,71.37844413717588,188.054,123.271,98.7384,80,116,America/Toronto,2.98391
HKWorkoutActivityTypeFunctionalStrengthTraining,11/26/22 8:34,11/26/22 9:15,40.60356021722158,300.726,70.1078,126.178,86,161,America/Toronto,6.89521
HKWorkoutActivityTypeWalking,11/26/22 9:15,11/26/22 9:41,26.35562366644541,343.762,45.5655,159.656,109,175,America/Toronto,11.0898
HKWorkoutActivityTypeTraditionalStrengthTraining,11/26/22 9:46,11/26/22 10:10,24.11163893342018,140.976,40.1297,113.844,95,135,America/Toronto,3.90618
HKWorkoutActivityTypeWalking,11/26/22 14:05,11/26/22 16:30,142.9372335672379,445.508,246.882,99.1449,78,116,America/Toronto,3.4767
HKWorkoutActivityTypeWalking,11/29/22 22:09,11/29/22 22:38,28.57118752996127,101.356,49.0031,106.392,90,116,America/Toronto,4.28784
HKWorkoutActivityTypeFunctionalStrengthTraining,11/29/22 23:01,11/29/22 23:38,37.46546016732852,304.448,64.6498,135.99,107,165,America/Toronto,7.48463
HKWorkoutActivityTypeWalking,11/29/22 23:39,11/29/22 23:58,19.08041950066884,271.487,32.9049,171.923,147,183,America/Toronto,12.0145
HKWorkoutActivityTypeTraditionalStrengthTraining,11/30/22 0:07,11/30/22 0:35,28.04553504983584,186.979,47.565,118.245,98,145,America/Toronto,4.84057
HKWorkoutActivityTypeWalking,11/30/22 0:49,11/30/22 1:20,30.95453436573347,124.899,53.2175,111.4,97,119,America/Toronto,4.34966
HKWorkoutActivityTypeWalking,12/1/22 9:56,12/1/22 12:31,152.4676630238692,577.731,263.136,104.229,68,119,America/Toronto,4.05617
HKWorkoutActivityTypeWalking,12/1/22 22:07,12/1/22 22:40,33.34733148614566,115.905,57.5142,98.744,60,109,America/Toronto,4.31048
HKWorkoutActivityTypeWalking,12/1/22 23:43,12/2/22 0:11,28.11412619948387,350.106,48.5295,157.275,101,175,America/Toronto,10.6647
HKWorkoutActivityTypeTraditionalStrengthTraining,12/2/22 0:12,12/2/22 0:36,24.31800588369369,146.623,41.3747,114.416,98,131,America/Toronto,4.24291
HKWorkoutActivityTypeWalking,12/2/22 0:49,12/2/22 1:26,37.44799579580625,134.259,64.0233,103.982,89,113,America/Toronto,4.15188
HKWorkoutActivityTypeFunctionalStrengthTraining,12/3/22 8:40,12/3/22 9:16,36.18436751763026,285.716,62.4096,126.175,102,152,America/Toronto,7.27912
HKWorkoutActivityTypeWalking,12/3/22 9:34,12/3/22 9:50,16.4983482,222.024,28.5063,156.075,115,167,America/Toronto,11.3876
HKWorkoutActivityTypeTraditionalStrengthTraining,12/3/22 9:52,12/3/22 10:22,29.68737239837646,145.112,50.8156,108.335,88,130,America/Toronto,2.69828
HKWorkoutActivityTypeWalking,12/3/22 10:51,12/3/22 11:05,13.23105691870054,53.5081,22.7076,112.634,102,122,America/Toronto,4.59626
HKWorkoutActivityTypeWalking,12/3/22 15:21,12/3/22 15:54,33.42983241,121.025,57.4362,110.711,88,126,America/Toronto,4.34329
HKWorkoutActivityTypeWalking,12/5/22 21:33,12/5/22 21:56,22.95481491486231,85.4727,39.5322,109.286,97,117,America/Toronto,1.6
